Name,Manufacturer,Actual Price,Discounted Price
BENZONAK 5% Lotion 50ml,* Mkt: PRAISE PHARMA * Delivery charges if applicable will be applied at checkout,180,180
Benzonext 5% Gel 20gm,* Mkt: Ethinext Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,90,90
Benzonext Gel 20gm,* Mkt: Ethinext Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,80,80
BENZONIX Gel Wash 50gm,* Mkt: Canixa Life Sciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,174,174
BENZOYL PEROXIDE (NANZ) Gel 20gm,* Mkt: Nanz Med Science Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,81,81
BENZRIN AC 2.5% Gel(topical) 20gm,* Mkt: Rhine Royale * Delivery charges if applicable will be applied at checkout,56.4,56.4
BENZRIN AC 5% Gel(topical) 20gm,* Mkt: RHINE BIOGENICS PVT LTD * Delivery charges if applicable will be applied at checkout,81.5,81.5
BEPEROX DUO Gel 15gm,* Mkt: Caryota Lifesciences India Pvt Ltd * Delivery charges if applicable will be applied at checkout,320,320
BEROX Gel 20gm,* Mkt: Synnove Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,84,84
BEROX AD Gel 20gm,* Mkt: Synnove Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,324,324
BIOMYCIN Gel 15gm,* Mkt: Biochem Pharmaceutical Industries Ltd(Generic) * Delivery charges if applicable will be applied at checkout,96.25,67.38
BENCLEAR 5% Gel 20gm,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,159.26,159.26
BENCLEAR 2.5% Gel 20gm,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,72.35,72.35
BENCLEAR A Gel 15gm,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,295,295
BENLITE 5% Gel 20gm,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,145
BENLITE A Gel 15gm,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,295,295
BENZOL 10% Lotion 60ml,* Mkt: West Coast Pharmaceutical Works Ltd * Delivery charges if applicable will be applied at checkout,193,193
FACE O CLEAN Gel 20gm,* Mkt: PENDULUM LIFE SCIENCES PVT LTD * Delivery charges if applicable will be applied at checkout,115,115
Faceclin Gel 20gm,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,80,194.66
FACECLIN AT Gel 20gm,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,318,318
Faceclin AT Gel 15gm,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,238.5,238.5
Femcinol A Gel 20gm,* Mkt: Fem Care Pharma Ltd * Delivery charges if applicable will be applied at checkout,170,170
Femcinol Adp Gel 15gm,* Mkt: Fem Care Pharma Ltd * Delivery charges if applicable will be applied at checkout,230,230
Femolink Cream 20gm,* Mkt: Lincoln Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,182.6,182.6
FUROSONE + Cream 15gm,* Mkt: Oscar Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,150
Beipos 10mg Tablet 10'S,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,159,159
BELATIN 20 Tablet 10's,* Mkt: Macleods Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,110
BELATIN 40 Tablet 10's,* Mkt: Macleods Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,150
BELATIN M Tablet 10's,* Mkt: Macleods Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,166
BELFEXIN 180 Tablet 10's,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,140,140
BELTAS 20mg Tablet 10's,* Mkt: Glenmark Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,145,139
Bepozal Tablet 10's,* Mkt: Glowderma Labs Pvt Ltd * Delivery charges if applicable will be applied at checkout,129,129
Betnesol Injection 8X1Ml,* Mkt: Glaxosmithkline Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,42.48,42.48
Betni 4mg Injection 1ml,* Mkt: Intas Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,5.22,3.65
BIL 1 20mg Tablet 10's,* Mkt: Indiabulls Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,126.5,126.5
BILA ML Tablet 10's,* Mkt: FLOREAT MEDICA PVT LTD * Delivery charges if applicable will be applied at checkout,139,139
BILACAD Tablet 10's,* Mkt: Cadila Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,120,120
BILACAD M Tablet 10's,* Mkt: Cadila Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,150,167.5
BILACALM Tablet 10's,* Mkt: Eris Oaknet Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,82.45
BILACHEK Syrup 60ml,* Mkt: Mankind Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,100,100
BILACHEK Tablet 10's,* Mkt: Mankind Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,99,99
BILACHEK M Tablet 10's,* Mkt: Mankind Pharma Pvt Ltd * Delivery charges if applicable will be applied at checkout,165,165
BILADIB 20 Tablet 10's,* Mkt: PREVEGO HEALTHCARE & RESEARCH PRIVATE LIMITED (Generics) * Delivery charges if applicable will be applied at checkout,145,101.5
BILADIB M Tablet 10's,* Mkt: PREVEGO HEALTHCARE & RESEARCH PRIVATE LIMITED (Generics) * Delivery charges if applicable will be applied at checkout,195,136.5
BILAFAV 20 Tablet 10's,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,179.68,179.68
BILAFAV M Tablet 10's,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,150,193.6
BILAFAV M Mango Flavour Suspension 60ml,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,148,148
BILAFAV STRAWBERRY FLAVOUR Oral Solution 60ml,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,133.1,133.1
BILAFEM OD 20mg Tablet 10's,* Mkt: Dabur India Ltd * Delivery charges if applicable will be applied at checkout,115,115
BILAFEM OD Solution 60ml,* Mkt: Dabur India Ltd * Delivery charges if applicable will be applied at checkout,110,110
BILAFORD 40 Tablet 10's,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,150,105
BILAFORD M Tablet 10's,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,150,105
BILAFORD M Suspension 60ml,* Mkt: Leeford Healthcare Ltd (Generics) * Delivery charges if applicable will be applied at checkout,135,94.5
BILAGRA 20mg Tablet 10's,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,145,175.5
BILAGRA Syrup 60ml,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,118.75,118.75
BILAHASTA 20 Tablet 10's,* Mkt: Avighna Medicare Pvt Ltd(Generics) * Delivery charges if applicable will be applied at checkout,129,90.3
BILAHASTA M Tablet 10's,* Mkt: Avighna Medicare Pvt Ltd * Delivery charges if applicable will be applied at checkout,139,139
BILAHENZ 20mg Tablet 10's,* Mkt: La Renon Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,136
BILAHENZ M Tablet 10's,* Mkt: La Renon Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,213
BILAHIST Tablet 10's,* Mkt: Med Manor Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,132
BILAHIST 40 Tablet 10's,* Mkt: Med Manor Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,180,180
BILAHIST M Tablet 10's,* Mkt: Med Manor Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,176
BILALIFE 20 Tablet 10's,* Mkt: Walter Bushnell Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,129
BILALIFE M Tablet 10's,* Mkt: Walter Bushnell Pvt Ltd * Delivery charges if applicable will be applied at checkout,173.71,173.71
BILALIFE M DELICIOUS MANGO FLAVOUR Suspension 60ml,* Mkt: Walter Bushnell Pvt Ltd * Delivery charges if applicable will be applied at checkout,125,125
BILAMBIC 20 Tablet 10's,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,145,118.25
BILAMBIC M Tablet 10's,* Mkt: Alembic Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,150,107.9
BILAMED 20 Tablet 10's,* Mkt: Med Manor Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,131
BILAMED M Suspension 60ml,* Mkt: Med Manor Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,126,126
BILAMED M Tablet 10's,* Mkt: Med Manor Organics Pvt Ltd * Delivery charges if applicable will be applied at checkout,176,176
BILAMONT Tablet 10's,* Mkt: Aristo Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,98.5
BILANAIR 20mg Tablet 10's,* Mkt: Koye Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,125,125
BILANIX Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,145,140
BILANTA 20mg Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,145,134.5
BILANTA M Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,150,188.5
BILARGY M Tablet 10's,* Mkt: Best Biotech * Delivery charges if applicable will be applied at checkout,150,198
BILASDAY M Tablet 10's,* Mkt: Aareen Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,164.9,164.9
BILASET 20 Tablet 10's,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,126,126
BILASET M Tablet 10's,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,149,149
BILASET MANGO FLAVOUR Syrup 60ml,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,105,105
BILASHINE 40mg Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,197,197
BILASHINE Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,145,139
BILASHINE DT Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,72,72
BILAST 20mg Tablet 10's,* Mkt: Micro Labs Ltd * Delivery charges if applicable will be applied at checkout,145,143
BILAST 40 Tablet 10's,* Mkt: Micro Labs Ltd * Delivery charges if applicable will be applied at checkout,198,198
BILAST Syrup 60ml,* Mkt: Micro Labs Ltd * Delivery charges if applicable will be applied at checkout,118,118
BILAST M Tablet 15's,* Mkt: Micro Labs Ltd * Delivery charges if applicable will be applied at checkout,150,264
BILASTERO 20mg Tablet 10's,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,145,143
BILASTERO Syrup 60ml,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,118,118
BILASTERO M Tablet 10's,* Mkt: Hetero Healthcare Limited * Delivery charges if applicable will be applied at checkout,159,159
BILASTIBEL 20 Tablet 10's,* Mkt: Bellissa Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,129,129
BILASURE 20mg Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,145,139
BILASURE 40 Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,197,197
BILASURE Oral Solution 60ml,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,108,108
BILASURE M Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,150,172
BILATIS 20 Tablet 10's,* Mkt: Hegde & Hegde Pharmaceutica Llp * Delivery charges if applicable will be applied at checkout,145,114
BILATIS M Tablet 10's,* Mkt: H & H Labs * Delivery charges if applicable will be applied at checkout,149,149
BILAWIN M Tablet 10's,* Mkt: Winmark HEALTHCARE PVT LTD * Delivery charges if applicable will be applied at checkout,172,172
BILAXTEN 20 Tablet 20's,* Mkt: Menarini India Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,356
BILAXTEN 20 Tablet 10's,* Mkt: Menarini India Pvt Ltd * Delivery charges if applicable will be applied at checkout,178,178
BILAZAP 20mg Tablet 10's,* Mkt: Glenmark Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,145,139
BILAZAP M Tablet 10's,* Mkt: Glenmark Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,150,182
BILAZAP M MANGO FLAVOUR Suspension 60ml,* Mkt: Glenmark Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,131,131
BILAZEST 20mg Tablet 10's,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,179.68
BILAZEST M Tablet 10's,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,150,191.18
BILAZO 40 Tablet 10's,* Mkt: Indiabulls Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,190,190
BILAZO Tablet 10's,* Mkt: Indiabulls Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,145,126.5
BILBAY 20mg Tablet 10's,* Mkt: Ttk Healthcare Ltd * Delivery charges if applicable will be applied at checkout,125,125
BILBAY Oral Solution 60ml,* Mkt: Ttk Healthcare Ltd * Delivery charges if applicable will be applied at checkout,145,145
BILERT 20 Tablet 10's,* Mkt: Intas Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,119,119
BILKRO M Tablet 10's,* Mkt: Medley Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,150,171.5
BILKWIK M Tablet 10's,* Mkt: Apple Lifescience Pvt Ltd * Delivery charges if applicable will be applied at checkout,149,149
BILLACARE 20 Tablet 10's,* Mkt: Ethicare Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,110,110
BILLARGIC 20mg Tablet 10's,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,171.51,171.51
BILLARGIC Oral Solution 60ml,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,133.1,133.1
BILLARGIC M Tablet 10's,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,150,193.6
BILLASI Tablet 10's,* Mkt: Lincoln Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,120,120
BILLASI M Tablet 10's,* Mkt: Lincoln Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,165,165
BILMEGH M Tablet 10's,* Mkt: Meghmani Lifesciences Ltd * Delivery charges if applicable will be applied at checkout,128,128
BILTEN Tablet 10's,* Mkt: Apex Laboratories Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,115.4
BILZ MC Tablet 10's,* Mkt: Aurz Pharmaceutical Pvt Ltd * Delivery charges if applicable will be applied at checkout,158,158
BINGO M Tablet 10's,* Mkt: NEXTGEN HEALTH CARE * Delivery charges if applicable will be applied at checkout,96,96
BL 24 20mg Tablet 10's,* Mkt: Indiabulls Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,139.15,139.15
BLEXTEN M Tablet 10's,* Mkt: Wellok Pharma * Delivery charges if applicable will be applied at checkout,150,165
BLSON 20 Tablet 10's,* Mkt: Unison Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,145,36
BLUEMONT L Tablet 10's,* Mkt: Blue Biotec * Delivery charges if applicable will be applied at checkout,75,75
Borox M 10/5mg Tablet 10'S,* Mkt: Biomax Biotechnics Pvt Ltd * Delivery charges if applicable will be applied at checkout,85,85
Breathezy L Tablet 10'S,* Mkt: Msn Laboratories Pvt Ltd * Delivery charges if applicable will be applied at checkout,91.35,91.35
BREAZE FX Tablet 10's,* Mkt: Albert David Ltd * Delivery charges if applicable will be applied at checkout,130.8,130.8
Breaze L Kid Tablet 10'S,* Mkt: Albert David Ltd * Delivery charges if applicable will be applied at checkout,90.72,81.65
BREETHE FX Tablet 10's,* Mkt: METAMORF LIFESCIENCES * Delivery charges if applicable will be applied at checkout,223.6,147
BREETHE L Tablet 10's,* Mkt: METAMORF LIFESCIENCES * Delivery charges if applicable will be applied at checkout,99,99
BREETHE L KID DT Tablet 10's,* Mkt: METAMORF LIFESCIENCES * Delivery charges if applicable will be applied at checkout,60,60
BREEZ Tablet 10's,* Mkt: Themis Medicare Ltd * Delivery charges if applicable will be applied at checkout,170,170
BRICAREX DX JUNIOR Syrup 100ml,* Mkt: Cadila Healthcare Ltd (Zydus) * Delivery charges if applicable will be applied at checkout,70,77.2
BRONCOLITE AZ Syrup 100ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,135,135
Bronkolast L 4/2.5mg Tablet 10'S,* Mkt: Kontest Chemicals Ltd * Delivery charges if applicable will be applied at checkout,64.28,64.28
BULARID L 20 Tablet 10's,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,145,148.4
BULARID L 40 Tablet 10's,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,192.45,192.45
BYLOZA 20mg Tablet 10's,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,145,175.45
BYLOZA 40 Tablet 10's,* Mkt: Lupin Ltd * Delivery charges if applicable will be applied at checkout,217.65,217.65
BASITIN 10 Tablet 10's,* Mkt: KAINOSIS PHARMACEUTICALS * Delivery charges if applicable will be applied at checkout,55,55
BELIZIA 20 Tablet 10's,* Mkt: Prospero * Delivery charges if applicable will be applied at checkout,85,85
BELTAS FORTE Tablet 10's,* Mkt: Glenmark Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,190,190
BILAFAV M ODT 10/4 Tablet 10's,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,70.4,70.4
BILAFAV M ODT 20/10 Tablet 10's,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,116.44,116.44
BILAJOY M Tablet 10's,* Mkt: Talent India * Delivery charges if applicable will be applied at checkout,150,169
BILANES M Tablet 10's,* Mkt: Onesta Lifecare * Delivery charges if applicable will be applied at checkout,170,170
BILANIX FORTE Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,199,199
BILANTA FORTE Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,197,197
BILAPRIDE 20 Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,135,135
BILAPRIDE Syrup 60ml,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,110,110
BILAPRIDE M Tablet 10's,* Mkt: Innovative Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,165,165
BILASURE M KID Suspension 60ml,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,124,124
BILASURE M KID Tablet 10's,* Mkt: Sun Pharmaceutical Industries Ltd * Delivery charges if applicable will be applied at checkout,110,110
BILASURE M ODT Tablet 10's,* Mkt: Sun Pharma Laboratories Ltd * Delivery charges if applicable will be applied at checkout,175,175
BILATIDE 20 Tablet 10's,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,135,135
BILATIDE M Tablet 10's,* Mkt: Ikon Remedies Pvt Ltd * Delivery charges if applicable will be applied at checkout,165,165
BILATOP 20 Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,145,117
BILATOP M Tablet 10's,* Mkt: Ajanta Pharma Ltd * Delivery charges if applicable will be applied at checkout,169.5,118.65
BILAZEST KIDS Oral Solution 60ml,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,118.8,118.8
BILAZEST M KIDS Oral Suspension 60ml,* Mkt: Abbott Healthcare Pvt Ltd * Delivery charges if applicable will be applied at checkout,125,125
BILBAY M Tablet 10's,* Mkt: Ttk Healthcare Ltd * Delivery charges if applicable will be applied at checkout,157.7,157.7
BILOSTAL 20 Tablet 10's,* Mkt: STALLION LABORATORIES PVT LTD * Delivery charges if applicable will be applied at checkout,135,135
BILOSTAL 40 Tablet 10's,* Mkt: STALLION LABORATORIES PVT LTD * Delivery charges if applicable will be applied at checkout,180,180
BILOSTAL M Tablet 10's,* Mkt: STALLION LABORATORIES PVT LTD * Delivery charges if applicable will be applied at checkout,165,165
BIOBIL Tablet 10's,* Mkt: Bios Labs Pvt Ltd * Delivery charges if applicable will be applied at checkout,117,117
BROKAST L Tablet 10's,* Mkt: Exmo Biogenics Pvt Ltd * Delivery charges if applicable will be applied at checkout,250,80
BROKAST L KID Dispersible Tablet 10's,* Mkt: Exmo Biogenics Pvt Ltd * Delivery charges if applicable will be applied at checkout,59,59
BULARID M Tablet 10's,* Mkt: Ipca Laboratories Ltd * Delivery charges if applicable will be applied at checkout,150,137.45
F DIN 120 Tablet 10's,* Mkt: KAIZEN RESEARCH LABS INDIA PVT LTD * Delivery charges if applicable will be applied at checkout,108,95
F DIN 180mg Tablet 10's,* Mkt: KAIZEN RESEARCH LABS INDIA PVT LTD * Delivery charges if applicable will be applied at checkout,160,165
Febrex Plus AF Drops 15ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,67.5,84.3
Febrex Plus AF Syrup 60ml,* Mkt: Indoco Remedies Ltd * Delivery charges if applicable will be applied at checkout,60,82
FEEGRA 120mg Tablet 10's,* Mkt: Johnlee Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,92.8,92.8
FEEGRA 180mg Tablet 10's,* Mkt: Johnlee Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,111.8,111.8
FEEGRA M Tablet 10's,* Mkt: Johnlee Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,165,165
Fegra 120mg Tablet 10'S,* Mkt: Comed Chemicals Limited * Delivery charges if applicable will be applied at checkout,109.5,109.5
Fegra 180mg Tablet 10'S,* Mkt: Comed Chemicals Limited * Delivery charges if applicable will be applied at checkout,160,133.1
Fenixa 120mg Tablet 10'S,* Mkt: Canixa Life Sciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,108,110
Fenixa 180mg Tablet 10'S,* Mkt: Canixa Life Sciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,160,176
Fenixa Suspension 100ml,* Mkt: Canixa Life Sciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,148,148
Fenixa M Tablet 10'S,* Mkt: Canixa Life Sciences Pvt Ltd * Delivery charges if applicable will be applied at checkout,223.6,187
FENOFEXA 120mg Tablet 10's,* Mkt: Rhythm Pharma India Pvt Ltd * Delivery charges if applicable will be applied at checkout,69,69
FENOFEXA 180mg Tablet 10's,* Mkt: Rhythm Pharma India Pvt Ltd * Delivery charges if applicable will be applied at checkout,86,86
FEX 120mg Tablet 10'S,* Mkt: East West Pharma * Delivery charges if applicable will be applied at checkout,108,144.1
FEX 180mg Tablet 10'S,* Mkt: East West Pharma * Delivery charges if applicable will be applied at checkout,160,193.6
FEX 30mg Tablet 10'S,* Mkt: East West Pharma * Delivery charges if applicable will be applied at checkout,35.6,35.6
FEX M Tablet 10'S,* Mkt: East West Pharma * Delivery charges if applicable will be applied at checkout,223.6,165
FEXA M Tablet 10's,* Mkt: Lividus Pharmaceuticals Pvt Ltd * Delivery charges if applicable will be applied at checkout,223.6,143
FEXAIR 120 Tablet 10's,* Mkt: Troikaa Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,165,165
FEXAIR 180 Tablet 10's,* Mkt: Troikaa Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,198,198
FEXAIR M Tablet 10's,* Mkt: Troikaa Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,223.6,192.5
FEXIGRA Raspberry Vanilla Suspension 100ml,* Mkt: Cipla Ltd * Delivery charges if applicable will be applied at checkout,141.9,141.9
FEXIGUM 120mg Tablet 10's,* Mkt: ATLINA LIFESCIENCES PVT LTD * Delivery charges if applicable will be applied at checkout,110,110
FEXIGUM 180mg Tablet 10's,* Mkt: ATLINA LIFESCIENCES PVT LTD * Delivery charges if applicable will be applied at checkout,135,135
FEXIGUM M Tablet 10's,* Mkt: ATLINA LIFESCIENCES PVT LTD * Delivery charges if applicable will be applied at checkout,130,130
FEXINID M Tablet 10's,* Mkt: Indiabulls Pharmaceuticals Ltd * Delivery charges if applicable will be applied at checkout,151.8,151.8
FEXOBID 180 Tablet 10's,* Mkt: ASTRA LABS * Delivery charges if applicable will be applied at checkout,134,134
FEXOCET 120MG TABLET 10'S,* Mkt: Kivi Labs Ltd * Delivery charges if applicable will be applied at checkout,108,105.6
FEXOCON 120 Tablet 10's,* Mkt: MINOVA LIFE SCIENCES PVT LTD * Delivery charges if applicable will be applied at checkout,72,72
